date,abcb4.sa,also3.sa,alpa4.sa,alup11.sa,anim3.sa,arzz3.sa,bpan4.sa,brsr6.sa,brpr3.sa,brap4.sa,agro3.sa,brfs3.sa,cogn3.sa,csmg3.sa,cvcb3.sa,cyre3.sa,dasa3.sa,dxco3.sa,pnvl3.sa,dirr3.sa,ecor3.sa,embr3.sa,enat3.sa,enbr3.sa,even3.sa,eztc3.sa,fher3.sa,fesa4.sa,flry3.sa,gfsa3.sa,goau4.sa,goll4.sa,grnd3.sa,guar3.sa,meal3.sa,mypk3.sa,rani3.sa,jhsf3.sa,kepl3.sa,ligt3.sa,logn3.sa,amar3.sa,mdia3.sa,pomo4.sa,mrfg3.sa,leve3.sa,mils3.sa,beef3.sa,mrve3.sa,odpv3.sa,pcar3.sa,ptbl3.sa,posi3.sa,qual3.sa,rapt4.sa,rcsl3.sa,romi3.sa,stbp3.sa,smto3.sa,seer3.sa,sqia3.sa,slce3.sa,syne3.sa,tasa4.sa,tend3.sa,tris3.sa,tupy3.sa,unip6.sa,usim3.sa,usim5.sa,vlid3.sa,viia3.sa,vulc3.sa,wizs3.sa,yduq3.sa,DATE_UPDATE,CARTEIRA_TEORICA
2000-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.420097,NA,769.231995,NA,NA,NA,NA,NA,NA,8.203474,NA,NA,6.064206,NA,NA,NA,NA,NA,0.372214,NA,NA,166.542526,NA,NA,3.787722,NA,NA,NA,NA,NA,47.518936,NA,NA,NA,0.179222,NA,1.731476,NA,NA,NA,NA,NA,0.361313,NA,NA,0.1552,NA,0.26162,NA,NA,NA,NA,NA,1.244356,2.885095,NA,NA,NA,24.885107,NA,1.582737,NA,0.996683,NA,NA,NA,2023-02-01,MATRIZ_PRECO_CT_B3_SMLL
2000-01-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.318661,NA,764.274048,NA,NA,NA,NA,NA,NA,8.203474,NA,NA,5.337687,NA,NA,NA,NA,NA,0.339519,NA,NA,160.799698,NA,NA,3.787722,NA,NA,NA,NA,NA,49.243198,NA,NA,NA,0.179222,NA,1.783945,NA,NA,NA,NA,NA,0.335035,NA,NA,0.144372,NA,0.25357,NA,NA,NA,NA,NA,1.244356,2.885095,NA,NA,NA,23.491568,1.546706,1.525033,NA,0.996683,NA,NA,NA,2023-02-01,MATRIZ_PRECO_CT_B3_SMLL
2000-01-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.420097,NA,764.274048,NA,NA,NA,NA,NA,NA,8.203474,NA,NA,5.537851,NA,NA,NA,NA,NA,0.345806,NA,NA,158.502579,NA,NA,3.787722,NA,0.811174,NA,NA,NA,52.945328,NA,NA,NA,0.187964,NA,1.757185,NA,NA,NA,NA,NA,0.335035,NA,NA,0.147981,NA,0.255583,NA,NA,NA,NA,NA,1.244356,2.885095,NA,NA,NA,23.690765,1.546706,1.670117,NA,0.996683,NA,NA,NA,2023-02-01,MATRIZ_PRECO_CT_B3_SMLL
2000-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.420097,NA,744.42041,NA,NA,NA,NA,NA,NA,6.56278,NA,NA,5.359929,NA,NA,NA,NA,NA,0.364669,NA,NA,160.225372,NA,NA,3.647435,NA,NA,3.04e-4,NA,NA,57.408142,NA,NA,NA,0.183593,NA,1.747216,NA,NA,NA,NA,NA,0.335035,NA,NA,0.147981,NA,0.201246,NA,NA,NA,NA,NA,1.244356,2.885095,NA,NA,NA,23.093369,1.031137,1.821796,NA,0.996683,NA,NA,NA,2023-02-01,MATRIZ_PRECO_CT_B3_SMLL
2000-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.420097,NA,744.42041,NA,NA,NA,NA,NA,NA,6.56278,NA,NA,5.523025,NA,NA,NA,NA,NA,0.367812,NA,NA,160.799698,NA,NA,3.787722,NA,NA,3.04e-4,NA,NA,55.683876,NA,NA,NA,0.183593,NA,1.731476,NA,NA,NA,NA,NA,0.315327,NA,NA,0.151591,NA,0.201246,NA,NA,NA,NA,NA,1.244356,2.885095,NA,NA,NA,23.292431,1.048322,1.894339,NA,0.996683,NA,NA,NA,2023-02-01,MATRIZ_PRECO_CT_B3_SMLL
2000-01-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.420097,NA,818.862427,NA,NA,NA,NA,NA,NA,7.383128,NA,NA,5.574917,NA,NA,NA,NA,NA,0.364669,NA,NA,168.265472,NA,NA,3.787722,NA,NA,3.04e-4,NA,NA,54.872452,NA,NA,NA,0.183593,NA,1.747216,NA,NA,NA,NA,NA,0.308758,NA,NA,0.162419,NA,0.201246,NA,NA,NA,NA,NA,1.271407,2.885095,NA,NA,NA,23.8897,1.211586,2.090531,NA,0.996683,NA,NA,NA,2023-02-01,MATRIZ_PRECO_CT_B3_SMLL
2000-01-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.420097,NA,818.862427,NA,NA,NA,NA,NA,NA,7.383128,NA,NA,5.270967,NA,2.461168,NA,NA,NA,0.364669,NA,NA,169.988281,NA,NA,3.787722,NA,NA,3.04e-4,NA,NA,54.061035,NA,NA,NA,0.185341,NA,1.731476,NA,NA,NA,NA,NA,0.308758,NA,NA,0.166028,NA,0.201246,NA,NA,NA,NA,NA,1.298459,2.885095,NA,NA,NA,23.491568,1.211586,1.978421,NA,0.996683,NA,NA,NA,2023-02-01,MATRIZ_PRECO_CT_B3_SMLL
2000-01-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.420097,NA,818.862427,NA,NA,NA,NA,NA,NA,4.101737,NA,NA,5.300619,NA,2.461168,NA,NA,NA,0.352094,NA,NA,172.26619,NA,NA,3.787722,NA,NA,3.04e-4,NA,NA,54.771015,NA,NA,NA,0.185341,NA,1.730426,NA,NA,NA,NA,NA,0.328466,NA,NA,0.162419,NA,0.201246,NA,NA,NA,NA,NA,1.298459,2.885095,NA,NA,NA,23.491568,1.211586,1.881148,NA,0.996683,NA,NA,NA,2023-02-01,MATRIZ_PRECO_CT_B3_SMLL
2000-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.521532,NA,818.862427,NA,NA,NA,NA,NA,NA,4.101737,NA,NA,5.337687,NA,2.461168,NA,NA,NA,0.364669,NA,NA,178.02829,NA,NA,3.787722,NA,NA,3.04e-4,NA,NA,53.401745,NA,NA,NA,0.179222,NA,1.782896,NA,NA,NA,NA,NA,0.394159,NA,NA,0.162419,NA,0.201246,NA,NA,NA,NA,NA,1.298459,2.885095,NA,NA,NA,23.292431,1.211586,1.813553,NA,0.996683,NA,NA,NA,2023-02-01,MATRIZ_PRECO_CT_B3_SMLL
2000-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.622967,NA,818.862427,NA,NA,NA,NA,NA,NA,4.101737,NA,NA,5.293206,NA,2.461168,NA,NA,NA,0.364669,NA,NA,172.247086,NA,NA,3.787722,NA,NA,3.04e-4,NA,NA,51.576038,NA,NA,NA,0.179222,NA,1.772926,NA,NA,NA,NA,NA,0.38102,NA,NA,0.158809,NA,0.201246,NA,NA,NA,NA,NA,1.298459,2.885095,NA,NA,NA,23.093369,1.211586,1.846526,NA,0.996683,NA,NA,NA,2023-02-01,MATRIZ_PRECO_CT_B3_SMLL
